label	message	length	punct
ham	Good morning, This is a reminder to complete pending onboarding documents. Please upload your educational certificates, Aadhaar and PAN card through the onboarding portal before your joining date to avoid delays. Regards.	221	5
ham	Just to let you know Your MacBook battery replacement request has been approved by IT. Please drop the laptop at the IT helpdesk on Floor 2 tomorrow morning. It will be returned by end of day Thursday.	201	3
ham	For your information: Did you take notes in today's lecture? The professor went through a lot of material and I was late by 15 minutes. Can you WhatsApp me a photo of the notes? Do let me know if anything is unclear.	216	6
spam	THIS IS TO INFORM YOU: Hi, hope you are doing well. I wanted to ask your opinion on something. I am helping a friend who needs to move some funds from one account to another but is having trouble due to his NRI status. Your account could help facilitate the transfer temporarily. You would be compensated of course.	315	7
ham	Is ur paper in e morn or aft tmr?	33	1
ham	Please be informed that The annual report of the students union has been published and is available in the library. It covers all events organized this year along with the financial statements and plans for the upcoming year.	225	2
ham	The bus leaves at <#>	21	3
ham	Can... I'm free...	18	7
ham	Great! How is the office today?	31	2
ham	My birthday is on feb <#> da. .	31	5
spam	SPECIAL ALERT: FIXED DEPOSIT at 18% interest rate per year! Much higher than bank FD. Government backed scheme. Minimum Rs 50,000. Call 9988776655 to invest today. Limited time offer!	183	9
ham	Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!	92	2
ham	Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx	158	10
spam	IMPORTANT NOTICE: Dear Sir, Our estate planning division has identified that you are the legal heir to Rs 78,00,000 in a dormant Fixed Deposit maintained by your late relative in our bank. To initiate the transfer of these funds to your account please complete the legal heir verification process by submitting notarized documents and a refundable processing fee of Rs 7,500.	375	7
spam	DEAR SIR/MADAM: FREE GOVERNMENT JOB FORM FILLING: Get peon, clerk, constable government job forms filled by experts. We track results. Pay only Rs 200 per form. Call 9988776655. 200+ candidates placed in govt jobs.	214	11
spam	IMPORTANT NOTICE: Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs) Call now or miss out!	192	9
ham	Following up: Reminder: Your vehicle is due for service. Book an appointment at the nearest authorized service center. You can also book online through the manufacturer's service portal for priority scheduling.	210	6
spam	PRIORITY MESSAGE: Your number was selected in Airtel anniversary draw! Prize Rs 75,000 cash. Call 09876543210 to verify and claim within 24 hours only.	151	5
ham	Friendly reminder: I need your help urgently. The bank statement you sent has a discrepancy of Rs 23,000. The auditors are here and we need this reconciled in the next 2 hours. Please check and call me.	202	6
spam	THIS IS TO INFORM YOU: Amazon Pay: Rs 4,999 deducted 4 Prime renewal. To cancel & get refund call 1800-AMAZON-HELP within 2 hrs. Ref: AMZ20240315. If already done ignore this message. Call immediately!	201	12
spam	DEAR SIR/MADAM: LIMITED TIME! SALARY ADVANCE of Rs 1 lakh in 10 minutes! No documents no CIBIL check. Apply at http://salary-advance-india.xyz Just Aadhaar needed!	163	12
ham	Hi team, The career counseling session this Saturday was very helpful. The counselor shared specific tips on tailoring resumes for different roles and handling behavioral questions in campus placement interviews. Let me know if you have questions.	247	4
spam	PRIORITY MESSAGE: DEAR VALUED CUSTOMER: Dear parent this is an important communication from your child's school. Due to infrastructure development all parents must pay an additional fee of Rs 8,000 by next Friday to avoid inconvenience to the child.	249	6
ham	Will do, you gonna be at blake's all night? I might be able to get out of here a little early	93	3
ham	Annual prize distribution ceremony for academic toppers and sports champions will be held on 30th March at 10am in the college auditorium. All students and faculty are cordially invited to attend.	196	2
spam	SPECIAL ALERT: DEAR USER: FREE LAND: Government is distributing plot of 100 square feet to all BPL families in urban areas. Register by paying Rs 500 at our office. Call 9988776655 for appointment.	197	6
ham	Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas	113	6
spam	DEAR USER: MAGIC STONE removes bad luck and brings wealth! Tested by 10,000 people. Rs 1500 only. Call astrologer at 9876543210. Results in 7 days.	147	7
